title,rating,author,date_published,review_text,Type Of Traveller,Seat Type,Route,Date Flown,Recommended,Aircraft
"""70 days chasing BA’s complaints department""",1,R Layne,2025-01-15,"i booked through ba because loganair don’t have representatives in manchester airport. loganair cancelled the flight but someone at ba marked the flight as delayed by 52 minutes. i’ve spent over 70 days chasing ba’s complaints department who are at best totally ineffective. they won’t put you through to the people dealing with the claim (apparently they don’t have the facility to do so!), they won’t phone loganair, they won’t look on manchester airports historic flight website to confirm the cancellation, they won’t put you through to a supervisor in fact they do very little but apologise for how little they do.",Solo Leisure,Business Class,Cape Town to London,2024-12-01,yes,Boeing 777
"“victims of their new supper service""",7,P Gough,2024-12-12,"check in was fine, but no priority/fast track lines for security or boarding. there is only one lounge option for first class customers in mexico city, which is the american airlines admirals club, which is abysmal. there is a free bar, serving cheap alcohol – an awful food selection – and nowhere to shower. on board – i find the seat really comfortable. the crew were fantastic, and i’m starting to really see some consistency in the quality of their first class crew. the drink selection was fine. the food was appalling. we were the victims of their new supper service. this is basically a dinner service with a lot less options/choice. no fish/seafood options on either the starters or the mains. first choice of main unavailable as only two had been loaded. the fillet steak, so drying and overcooked, that i heard at least three people send it back. pretty impressive for a cabin of just eight passengers..dreadful dessert and cheeseboard. luggage off swiftly the other end – so good to see priority tagging working.",Solo Leisure,Economy Class,Keflavik to Cape Town via London,2024-10-01,no,A350
"""won't be using her return ticket""",1,Hock Herng Chia,2024-11-08,a transit visa is required for my partner to transit via london to iceland. so i had to buy a separate ticket for her via another airline. when we reach iceland i emailed british airways telling then she won't be using her return ticket and requested for a partial refund. 2 days later. i received an email from customer service that i need to contact one of their service centres via the provided link. i replied to say the link only goes to a page with various british landline phone numbers to call and explained that i am overseas then and it will not be practical to do this via international calls. they replied to say i can only do this by contacting the service centres. so the airline end up taking my money regardless.,Solo Leisure,Economy Class,Vancouver to Gatwick,2024-09-01,yes,A380-800
"""Who can trust BA to travel2",1,J C Albrecht,2024-10-31,"not verified |  the flight scheduled at 1840 left 2hours 40 minutes alter due to late arrival of incoming aircraft from naples, as a result i missed a connection from istanbul to dubai, nothing unusual. the issue acknowledged by the captain is that the plane had been late since the morning flight from rome with rolling effect until the evening. as this was the case, whey did ba not contact me and all other passengers, i could have made other arrangements and fly early to istanbul and not miss my connection resulting in a £300 charge and a long delay. ba has certainly lots of staff who could have informed by using the email or text. obviously passengers are of no utility to ba once the ticket is purchased. who can trust ba to travel? not me now after such poor handling of a simple matter.",Solo Leisure,Economy Class,Johannesburg to New York City via Heathrow,2024-10-01,no,A320N
"""crew were all very friendly""",8,James Tapley,2024-10-08,"i recently flew from new york back to london with ba, this wasn't my first long haul with them however it was my first time travelling in world traveler plus. we boarded the aircraft on time and stress free and my first impression was good. the cabin was clean and the leg room was good. the recline on the seat was generous and combined with a footrest it was quite comfortable. waiting on our seats was a decent quality cushion and blanket as well as an amenity kit. the amenity kit contained some good headphones, socks, an eye mask, lip balm, pen and toothbrush and toothpaste. once boarding was complete we were offered a pre departure drink with orange juice, water or champagne being the options. the crew were all very friendly and professional and did their upmost to ensure that everyone was happy. once in the air we were offered a hot towel and another round of drinks, this time with a lot more selection. drinks were offered several times throughout the flight. a menu was also handed out not long after take off, the starter was quinoa and for main there was a choice of chicken, meatballs and pasta or a vegetarian mushroom dish. i chose the meatballs and they were really good. my only real complaint about the flight was people not getting the dish they wished for. we were sat in the last row of the premium economy cabin and by the time the meal service got to us all of the chicken dishes were gone. the moral of the story is that if you sit at the front of the cabin, you will likely get your preferred meal option. after the meal i chose to watch some shows on the well sized entertainment screen, ba is definitely up there for best inflight entertainment. finally about an hour before landing we were served a breakfast snack, this come in the form of a warm egg and swiss cheese bagel. it was edible but also a little soggy and didn't really taste of much, i certainly wont be craving one anytime soon. we touched down into heathrow on time before disembarking the aircraft and picking up our bags, everything was very efficient and we were on our way in no time.",Couple Leisure,Economy Class,Heathrow to Berlin,2024-07-01,yes,A321
"""cannot get compensation for our flight""",1,S Grimsditch,2024-09-13,not verified |  absolutely disgusted with ba. our flights were cancelled on 1 may by ba even though the flight still departed. we had a connecting flight from manchester to heathrow which was cancelled due to weather so could not get compensation for that flight. but now it turns out we cannot get compensation for our flight to seattle either even though ba actually cancelled it for us. i will never fly with them again.,Business,Business Class,San Diego to Athens,2024-08-01,no,Boeing 777-200
“service offered was exceptional”,9,Arthur Grace,2024-08-26,not verified | although all four flights were delayed the service offered by ba was exceptional. the food and drink offered on the domestic and international sectors was extremely good as was the attention of the cabin crew. some disorganised boarding on return from newark. the ba lounge service at newark was excellent. overall a good and satisfying trip.,Solo Leisure,Business Class,Vancouver to London,2024-07-01,yes,A350
"""the crew were fabulous""",8,G Jones,2024-08-12,"an excellent flight! despite this being a 4.5 hour flight in a a320 that is configured for short hops to edinburgh or glasgow, and despite there being no ife, i ended up really enjoying the flight. i don't know if it was just that i had really low expectations, but i thought the crew were fabulous, and the food and wine was surprisingly good. the plane itself looked very new and was in perfect condition. from the very start, i really liked the crew - they were all cheerful, genuine, and clearly enjoying their work. i noticed they constantly had friendly and proactive interactions with passengers, and when the food and drink came around, they were generous with the wine - and happily provided top-ups later in the flight. the food box was deceptively small - it actually contained a decent selection of food, and was more than enough to keep me feeling satisfied on this trip. there were regular, and detailed, updates from the cockpit which i also appreciated. so whilst the hard products on this flight were limited, it was the service - and the genuine enjoyment of the crew - that won me over.",Business,Business Class,Sydney to London,2024-08-01,no,A380
“Great customer service from BA”,10,S Irving,2024-08-02,"flight cancelled due to bad weather, ba contacted me by email immediately and provided an alternative booking as well as a link if their suggestion for a different flight wasn't convenient. clicked on the link and was assisted promptly by a service rep who rebooked me and sent all details within a few minutes. great customer service from ba....well done.",Solo Leisure,Economy Class,Toronto to London,2024-07-01,no,A380-800
“wholly inadequate customer service”,1,P Jackson,2024-06-30,"flight cancelled with no reason given less than 24 h before departure. the earliest offered replacement on their (terrible to use) app was 3 days later, which was unacceptable. their phone lines do not work and would reject your call due to being overwhelmed. even submitting a claim on their website is frustrating due to their terrible interface. overall, terrible company with wholly inadequate customer service.",Couple Leisure,Business Class,London to Manchester,2024-06-01,no,A320
